run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
levelA_M3_fixedparam,0,0,365,7135,189998,0,0.0361938387,1.0000000000,0.0698592046,0.0361938387,0.9998598655,0.0698588626,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00365.png
levelA_M3_fixedparam,0,0,366,2296,196606,0,0.0115433731,1.0000000000,0.0228232885,0.0115433731,0.9995646495,0.0228231751,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00366.png
levelA_M3_fixedparam,0,0,367,1310,198087,0,0.0065698080,1.0000000000,0.0130538546,0.0065698080,0.9992372235,0.0130537896,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00367.png
levelA_M3_fixedparam,0,0,368,12157,185460,0,0.0615179868,1.0000000000,0.1159056890,0.0615179868,0.9999177496,0.1159051365,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00368.png
levelA_M3_fixedparam,0,0,369,3587,196029,0,0.0179695014,1.0000000000,0.0353045969,0.0179695014,0.9997212932,0.0353044231,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00369.png
levelA_M3_fixedparam,0,0,370,8529,188657,0,0.0432535778,1.0000000000,0.0829205454,0.0432535778,0.9998827667,0.0829201423,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00370.png
levelA_M3_fixedparam,0,0,371,2185,197146,0,0.0109616668,1.0000000000,0.0216856230,0.0109616668,0.9995425435,0.0216855154,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00371.png
levelA_M3_fixedparam,0,0,372,9029,186996,0,0.0460604515,1.0000000000,0.0880646074,0.0460604515,0.9998892580,0.0880641779,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00372.png
levelA_M3_fixedparam,0,0,373,1841,197596,0,0.0092309852,1.0000000000,0.0182931070,0.0092309852,0.9994571118,0.0182930162,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00373.png
levelA_M3_fixedparam,0,0,374,9511,184528,0,0.0490159195,1.0000000000,0.0934512405,0.0490159195,0.9998948696,0.0934507814,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00374.png
levelA_M3_fixedparam,0,0,375,2165,196451,0,0.0109004310,1.0000000000,0.0215657856,0.0109004310,0.9995383195,0.0215656782,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00375.png
levelA_M3_fixedparam,0,0,376,1400,197439,0,0.0070408723,1.0000000000,0.0139832900,0.0070408723,0.9992862241,0.0139832201,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00376.png
levelA_M3_fixedparam,0,0,377,2180,196670,0,0.0109630375,1.0000000000,0.0216883052,0.0109630375,0.9995414947,0.0216881973,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00377.png
levelA_M3_fixedparam,0,0,378,4724,191973,0,0.0240166347,1.0000000000,0.0469067277,0.0240166347,0.9997883598,0.0469064948,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00378.png
levelA_M3_fixedparam,0,0,379,5166,192287,0,0.0261631882,1.0000000000,0.0509922564,0.0261631882,0.9998064641,0.0509920047,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00379.png
levelA_M3_fixedparam,0,0,380,908,199083,0,0.0045402043,1.0000000000,0.0090393680,0.0045402043,0.9988998900,0.0090393230,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00380.png
levelA_M3_fixedparam,0,0,381,4092,193237,0,0.0207369419,1.0000000000,0.0406313145,0.0207369419,0.9997556804,0.0406311128,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00381.png
levelA_M3_fixedparam,0,0,382,4989,192307,0,0.0252868786,1.0000000000,0.0493264454,0.0252868786,0.9997995992,0.0493262015,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00382.png
levelA_M3_fixedparam,0,0,383,5484,191685,0,0.0278137030,1.0000000000,0.0541220707,0.0278137030,0.9998176846,0.0541218037,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00383.png
levelA_M3_fixedparam,0,0,384,2158,196580,0,0.0108585172,1.0000000000,0.0214837528,0.0108585172,0.9995368226,0.0214836458,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00384.png
levelA_M3_fixedparam,0,0,385,4600,192257,0,0.0233672158,1.0000000000,0.0456673136,0.0233672158,0.9997826559,0.0456670869,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00385.png
levelA_M3_fixedparam,0,0,386,2661,195996,0,0.0133949471,1.0000000000,0.0264357882,0.0133949471,0.9996243426,0.0264356568,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00386.png
levelA_M3_fixedparam,0,0,387,1184,198419,0,0.0059317746,1.0000000000,0.0117935922,0.0059317746,0.9991561181,0.0117935335,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00387.png
levelA_M3_fixedparam,0,0,388,4174,192936,0,0.0211759931,1.0000000000,0.0414737386,0.0211759931,0.9997604790,0.0414735326,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00388.png
levelA_M3_fixedparam,0,0,389,6332,191920,0,0.0319391482,1.0000000000,0.0619012239,0.0319391482,0.9998420970,0.0619009214,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00389.png
levelA_M3_fixedparam,0,0,390,6483,191791,0,0.0326971766,1.0000000000,0.0633238424,0.0326971766,0.9998457742,0.0633235331,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00390.png
levelA_M3_fixedparam,0,0,391,10711,188454,0,0.0537795295,1.0000000000,0.1020697936,0.0537795295,0.9999066468,0.1020693073,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00391.png
levelA_M3_fixedparam,0,0,392,6813,191808,0,0.0343015089,1.0000000000,0.0663278717,0.0343015089,0.9998532433,0.0663275489,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00392.png
levelA_M3_fixedparam,0,0,393,1642,196963,0,0.0082676670,1.0000000000,0.0163997463,0.0082676670,0.9993913573,0.0163996644,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00393.png
levelA_M3_fixedparam,0,0,394,3075,194242,0,0.0155840602,1.0000000000,0.0306898479,0.0155840602,0.9996749025,0.0306896947,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00394.png
levelA_M3_fixedparam,0,0,395,1630,197849,0,0.0081712862,1.0000000000,0.0162101149,0.0081712862,0.9993868792,0.0162100343,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00395.png
levelA_M3_fixedparam,0,0,396,2277,195873,0,0.0114912945,1.0000000000,0.0227214896,0.0114912945,0.9995610184,0.0227213763,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00396.png
levelA_M3_fixedparam,0,0,397,823,198469,0,0.0041296189,1.0000000000,0.0082252705,0.0041296189,0.9987864078,0.0082252294,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00397.png
