run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
baseline_B2_sobel_xy_threshold_morph_cc,0,0,314,643,66559,3338,0.0095681676,0.1615172067,0.0180661113,0.0095681676,0.1615172067,0.0180661113,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00314.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,315,1611,36540,7714,0.0422269403,0.1727613941,0.0678658691,0.0422269403,0.1727613941,0.0678658691,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00315.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,316,98,47896,3603,0.0020419219,0.0264793299,0.0037914692,0.0020419219,0.0264793299,0.0037914692,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00316.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,317,1114,79249,2429,0.0138621007,0.3144228055,0.0265535242,0.0138621007,0.3144228055,0.0265535242,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00317.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,318,2210,76461,2923,0.0280916729,0.4305474381,0.0527421125,0.0280916729,0.4305474381,0.0527421125,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00318.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,319,350,64181,2167,0.0054237498,0.1390544299,0.0104402816,0.0054237498,0.1390544299,0.0104402816,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00319.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,320,1423,59138,3738,0.0234969700,0.2757217593,0.0433036122,0.0234969700,0.2757217593,0.0433036122,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00320.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,321,2702,67517,10265,0.0384796138,0.2083751060,0.0649628543,0.0384796138,0.2083751060,0.0649628543,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00321.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,322,664,48328,9250,0.0135532332,0.0669759935,0.0225443928,0.0135532332,0.0669759935,0.0225443928,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00322.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,323,2801,42865,7358,0.0613366618,0.2757161138,0.1003493059,0.0613366618,0.2757161138,0.1003493059,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00323.png
