baseline_id,stage,candidate_id,gaussian_k,gaussian_sigma,median_k,canny_t1,canny_t2,sobel_k,threshold,erode_r,dilate_r,cc_area,cc_aspect,mean_f1,std_f1,min_f1,max_f1,mean_precision,mean_recall,invalid_images,elapsed_sec,stage_winner,final_winner
B0,stage1_full,29,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0545573048,0.0497187285,0.0108743084,0.1649387016,0.0287579867,0.9932779676,0,0.0101480000,0,0
B0,stage1_full,30,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0529705065,0.0471445098,0.0108683664,0.1551545799,0.0278323513,0.9972711681,0,0.0104924000,0,0
B0,stage1_full,31,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.2311674146,0.2172927683,0.0000000000,0.5773478142,0.5235631471,0.1722918321,0,0.0038871000,0,0
B0,stage1_full,32,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3327898892,0.3212912737,0.0000000000,0.7993127148,0.4287880070,0.3646858311,0,0.0033350000,0,0
B0,stage1_full,33,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3263259143,0.3278380840,0.0000000000,0.8588295688,0.4607196814,0.4444588350,0,0.0037661000,0,0
B0,stage1_full,34,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3167471001,0.2798710350,0.0000000000,0.8726300438,0.4719657086,0.5222307678,0,0.0034070000,0,0
B0,stage1_full,35,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3535177478,0.2361259306,0.0330515615,0.8569761892,0.3386525304,0.6699134663,0,0.0034256000,0,0
B0,stage1_full,36,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1361836835,0.0931676103,0.0251554551,0.4181639831,0.0769557731,0.8753106618,0,0.0032953000,0,0
B0,stage1_full,37,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0647490799,0.0590913127,0.0127726682,0.1980546413,0.0345663580,0.9638887471,0,0.0034146000,0,0
B0,stage1_full,38,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0566976032,0.0532343346,0.0108728542,0.1775670814,0.0300212998,0.9848241941,0,0.0033073000,0,0
B0,stage1_full,39,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0542262226,0.0491729139,0.0108721271,0.1630502695,0.0285631744,0.9944673851,0,0.0032232000,0,0
B0,stage1_full,40,5.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0527048411,0.0467285949,0.0108682030,0.1535903041,0.0276785035,0.9979099596,0,0.0035359000,0,0
B0,stage1_full,41,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.2151257467,0.2099114136,0.0000000000,0.5720282389,0.5012958294,0.1505243964,0,0.0113329000,0,0
B0,stage1_full,42,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3405498292,0.3197749028,0.0000000000,0.7960336677,0.4482496767,0.3547611439,0,0.0106669000,0,0
B0,stage1_full,43,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3329480658,0.3336678998,0.0000000000,0.8550387597,0.4798416137,0.4402231129,0,0.0108043000,0,0
B0,stage1_full,44,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3075116415,0.2909703398,0.0000000000,0.8791021105,0.4672499956,0.5123029868,0,0.0115527000,0,0
B0,stage1_full,45,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3543030810,0.2469859169,0.0354442894,0.8829276192,0.3633443853,0.6564521991,0,0.0108084000,1,1
B0,stage1_full,46,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1446715104,0.1008403729,0.0255192515,0.4552000823,0.0825392210,0.8815381186,0,0.0108374000,0,0
