baseline_id,selected_candidate_id,image_id,tp,fp,fn,invalid_pixels,precision_standard,recall_standard,f1_standard,result_image
B2,464,116,798,179899,490,0,0.0044162327,0.6195652174,0.0087699536,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00116.png
B2,464,117,472,186328,1302,0,0.0025267666,0.2660653890,0.0050059923,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00117.png
B2,464,118,216,169480,868,0,0.0012728644,0.1992619926,0.0025295702,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00118.png
B2,464,119,5601,3041,10122,0,0.6481138625,0.3562297272,0.4597578494,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00119.png
B2,464,120,403,2147,899,0,0.1580392157,0.3095238095,0.2092419522,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00120.png
B2,464,121,2429,4755,10833,0,0.3381124722,0.1831548786,0.2376014868,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00121.png
B2,464,122,5445,2425,8545,0,0.6918678526,0.3892065761,0.4981701738,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00122.png
B2,464,123,3897,2169,8271,0,0.6424332344,0.3202662722,0.4274432379,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00123.png
B2,464,124,356,2878,2217,0,0.1100803958,0.1383598912,0.1226106423,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00124.png
B2,464,125,2952,149770,6492,0,0.0193292387,0.3125794155,0.0364071384,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00125.png
B2,464,126,1580,124919,5671,0,0.0124902173,0.2179009792,0.0236261682,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00126.png
B2,464,127,2447,140945,2757,0,0.0170651082,0.4702152191,0.0329349377,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00127.png
B2,464,128,1644,139196,2820,0,0.0116728202,0.3682795699,0.0226284204,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00128.png
B2,464,129,1926,170481,2429,0,0.0111712401,0.4422502870,0.0217920141,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00129.png
B2,464,130,1951,155532,4388,0,0.0123886388,0.3077772519,0.0238185348,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00130.png
B3,600,111,1309,196574,0,0,0.0066150200,1.0000000000,0.0131430981,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00111.png
B3,600,112,1365,196499,0,0,0.0068986779,1.0000000000,0.0137028244,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00112.png
B3,600,113,1342,196327,0,0,0.0067891273,1.0000000000,0.0134866917,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00113.png
B3,600,114,1339,196442,0,0,0.0067701144,1.0000000000,0.0134491764,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00114.png
B3,600,115,1803,195089,0,0,0.0091573045,1.0000000000,0.0181484184,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00115.png
B3,600,116,1288,196817,0,0,0.0065016027,1.0000000000,0.0129192098,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00116.png
B3,600,117,1774,195580,0,0,0.0089889235,1.0000000000,0.0178176851,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00117.png
B3,600,118,1084,197314,0,0,0.0054637648,1.0000000000,0.0108681485,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00118.png
B3,600,119,12441,180822,3282,0,0.0643734186,0.7912612097,0.1190606069,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00119.png
B3,600,120,1297,198427,5,0,0.0064939617,0.9961597542,0.0129038035,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00120.png
B3,600,121,12477,184605,785,0,0.0633086735,0.9408083245,0.1186342372,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00121.png
B3,600,122,10043,182774,3947,0,0.0520856563,0.7178699071,0.0971243720,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00122.png
B3,600,123,8989,184370,3179,0,0.0464886558,0.7387409599,0.0874726922,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00123.png
B3,600,124,2573,196051,0,0,0.0129541244,1.0000000000,0.0255769221,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00124.png
B3,600,125,9444,188589,0,0,0.0476890215,1.0000000000,0.0910365968,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00125.png
B3,600,126,7251,190354,0,0,0.0366944156,1.0000000000,0.0707911899,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00126.png
B3,600,127,4446,194282,758,0,0.0223722878,0.8543428132,0.0436027696,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00127.png
B3,600,128,4464,194305,0,0,0.0224582304,1.0000000000,0.0439298736,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00128.png
B3,600,129,4355,194711,0,0,0.0218771664,1.0000000000,0.0428176049,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00129.png
B3,600,130,6248,190947,91,0,0.0316843733,0.9856444234,0.0613951477,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B3_train_crack_00130.png
